"","space","description","transit","access","house_rules","host_since","host_about","host_response_time","host_is_superhost","host_total_listings_count","host_has_profile_pic","zipcode","Latitude","Longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","require_guest_profile_picture","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_fewDaysOrMore","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"2","1","A real ""home from home"" in the heart of Paris for up to 4 people (5 with a folding bed)  in an authentic Haussmann apartment with a large balcony.  Close to the main centres of (Website hidden by Airbnb) ideal way to enjoy this fantastic city in complete freedom. Enjoy a slice of Parisian history and stay in an authentic Haussmann apartment. Sleeping up to five people, it is a charming apartment (50 m²) with parquet floors, mouldings and a fireplace with two adjoining bedrooms, a fully equipped kitchen and a large balcony decorated with flowers. On the 5th floor without a lift, appreciate the clear view of Paris and get excited by how central this apartment is to so many attractions. A short walk away are three Metro stations with numerous connections to the main line RER, airport, taxi and bus stations nearby. The movida room : An association of clear bright colours lightens this room with a design decoration just a touch psychedelic to recall the sensual and slightly kitsch ambiance ","1","1","1","2009","1","within an hour","1","6","1","75011",48.8627752147805,2.37467959339099,"Apartment","Entire home/apt","5","1","2","3","Real Bed",538,135,500,50,"2",10,5,60,140,"2010-01-11","2018-10-24",99,10,10,10,10,10,10,"0","0","strict_14_with_grace_period","0",1.3,0.450666666666667,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1",172.41824,1407105.25664,1825.2
"3","1","Description The apartment is located in the well known Quartier latin in Paris (75005), in a very quiet, safe and calm area: it is sunny, right in downtown. Facing South-West ( with view on a peaceful garden). Very close to: Panthéon, Mouffetard (0 km), Notre dame, île Saint-Louis (1 km), river Seine.  Restaurants, ""cafés"", shops, markets,  nearby ; Local restaurants and shops cater to all tastes and budgets, and I advise you some good places. At this adress lived James Joyce, and Hemingwy in the same street... You are in the heart of Paris ! During the summer holidays ( July the 15th until August the 31st), a stay of 4 nights minimum is requested. The apartment: 35m² (which is not so small according Paris standards...). Furniture design. Parquet. 1 bedroom.  A new Muji sofa bed (grey) very confortable. 1 bathroom with bathtub. 1 WC. Small kitchen. Freazer. Micro waves. Télévision (125 channels). High speed internet access, wifi. Free phone for home calls on certains destinations. Heat","0","0","1","2009","1","N/A","0","2","1","75005",48.8467018854604,2.35094712847129,"Apartment","Entire home/apt","2","1","0","1","Futon",377,75,0,0,"2",0,2,1125,316,"2009-09-28","2018-11-05",93,10,9,10,10,10,10,"0","0","moderate","0",2.85,0.988,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0",120.82096,1308249.35488,2223
"4","1","Located in lively and charming Montmartre, in a the typically parisian building with elevator, this perfectly secured, very elegant, clear and quiet, connected and fully equipped  60m2 appartment will suit the needs of demanding travellers in Paris.  Check in and assistance are carried out by a concierge service. The appartment is 60 m2 large. 4th floor with elevator. Perfectly secured by a digital code at the first building entrance and intercom at the second. Appartment reinforced steel door. The entry opens on the one side on the spacious 38 m2 living room with a dining room and kitchen area, overlooking peaceful rue Yvonne Le Tac. 3 large and high windows allows perfect light all day long. On the other side opens the bedroom and separate bathroom area, overlooking the building internal large and very quiet yard, thus ensuring peaceful sleeping. Bathroom with 2 washbasins and Italian shower.  The toilet with washin basin is separate, opening in the entry. Small laundry room for wash","1","0","1","2009","1","N/A","0","1","1","75018",48.8843417260706,2.34004613786621,"Apartment","Entire home/apt","2","1","1","1","Real Bed",603,100,500,70,"2",0,5,90,13,"2016-06-12","2018-09-27",95,10,10,9,9,10,10,"0","0","strict_14_with_grace_period","0",0.44,0.152533333333333,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1",193.24944,1433910.8448,457.599999999999
"5","1","FULLY RENOVATED THREE YEARS AGO - NON SMOKING ***Location*** Very conveniently situated close to all commodities, our newly renovated apartment is set in the heart of the trendy ""Oberkampf"" district, with all the hip cafés and fashionable restaurants at your doorstep. Close by are also the pleasant ""Marais"" and lively ""Bastille"" districts, as well as the famous ""Canal St Martin"" where the Parisians gather to enjoy the waterside on Sunday afternoons... ***Description*** The apartment is on the 3rd and last floor of a typically Parisian stone building. Its facade gives onto a large cobble-stoned courtyard. The apartment is very sunny and is extremely quiet. It equiped to a very high standard. The nearby metro stations make it an ideal base to explore the city, with easy connections to all the main monuments, museums and famous sites. — The apartment is 21 sqm (230 sqft) and can comfortably sleep three — It has a main room with real bed, coffee table and dining table with four chairs — A ","0","0","1","2009","1","within an hour","0","1","1","75011",48.8657751381789,2.37704607446013,"Apartment","Entire home/apt","3","1","0","2","Real Bed",248,79,500,25,"2",0,3,60,288,"2010-11-16","2018-11-04",89,9,9,10,10,9,9,"1","0","strict_14_with_grace_period","0",2.97,1,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1",79.47904,648628.44544,2370
"6","1","STUDIO @ Le Marais Central location, 100m from metro station Saint-Paul le Marais, line 1. Buses nearby, supermarket just downtsairs, lots of shops and bars / restaurants around. Bright and calm at night. Wifi, big towels, extra quilts and pillows, iron, hair dryer, desk for computer work. REAL bed. Bathtube, kitchen fully equiped. FYI hotel nearby is 120€/night in low season. Read carefully the ad, all informations are below. Very charming for 1 or 2 person (couples only, no kids,  only one bed). NO STORAGE for luggage. Arrival between 3pm and 7pm, departure before non. Please be quiet in the stairs when going up. STUDIO:  25sqm, convenient, optimized, very bright and quiet. 5th and last floor (6th US floor), NO ELEVATOR, under the roof (be aware it can be very hot in summer and no air conditioning, but there is a fan).  Secure building with 2 digicodes + security lock.  Stairs can be high, be careful, also the ladder up to the mezzanine is not easy at all (small steps). - a luminous ","1","1","1","2009","1","within an hour","0","1","1","75004",48.8533893508036,2.36283619213713,"Apartment","Entire home/apt","2","1","1","1","Real Bed",269,78,250,20,"1",5,3,1125,331,"2010-03-18","2018-09-24",92,9,9,10,10,10,9,"0","0","moderate","1",3.15,1,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","1","0","1","1","1","1","0",86.20912,1004767.2936,2340
"7","1","A very quiet place, rue du Faubourg du Temple, in the 10th district of Paris, 2 minutes walk from the Canal St Martin, situated in a very lively area (theatres, cafés, shops, restaurants...), this sunny 45 square meter apartment will offer a very nice stay in Paris.  It is entirely renovated with a parquet floor and a balcony with flowers. You will find numerous cupboard places in there, as well as many services offered there like breakfast, lunch and dinner. > You can easily go to very famous places from there like the Centre Pompidou (Beaubourg area), famous store departments, Louvre Museum, Père Lachaise Cemetary...and this is only 10 minutes walk from the big square of the Buttes Chaumont. The apartment is served by many underground lines (Goncourt, Belleville, République stops...Lines 11, 2, 3, 5, 8, 9), as well as bus lines (lines 46, 75, 96), taxis and you can even find bicycles there > This is an ideal place to visit Paris, to rest, but also to visit many highly cultural and re","0","0","1","2010","1","within an hour","0","3","1","75010",48.8703310450947,2.37152249063361,"Apartment","Entire home/apt","4","1","2","2","Real Bed",484,105,300,30,"2",20,2,20,49,"2012-09-08","2018-10-16",87,9,8,9,8,9,9,"1","0","strict_14_with_grace_period","0",0.65,0.225333333333333,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","1","1",155.11232,1197156.88576,709.799999999999
"8","1","52m2 (560 square ft), one large living room (25m2 : table, very good sofa bed, HiFi system, wireless and cable modem, phone (free calls to more than 70 countries in the world, including US, European countries, etc.), web TV etc.)).  Separate room (Double bed , shelves, windows, orientated to the south) Fully equipped kitchen (fridge, oven, microwave, toaster, cupboards, coffee maker, etc.) Bathroom & toilets (shower, hot water), a kitchen (US style, as French people call them).  In beetween (3 minutes from each ) the two well connected metro stations La Chapelle (line 2, 4, RER B, A) and Marx Dormoy (Line 12). In the 18th of Paris, 5-7 minutes by walk (2 minutes by taxi) away from Gare du Nord (North train station, directly linked to the two airports and London by Eurostar). 2 stations from Montmartre and the world reknown square “les Abesses”. 1 station away for the “canal de l’Ourq”, the very relaxing canal and its fashion but relaxing cafés and only 15 minutes from LES CHAMPS ELYSEE","0","0","1","2010","1","N/A","0","1","1","75018",48.8856459438887,2.35905895116157,"Apartment","Entire home/apt","3","1","1","2","Real Bed",560,80,200,0,"2",20,3,14,2,"2010-02-14","2011-06-27",90,10,8,10,10,8,8,"0","0","moderate","0",0.02,0.00693333333333333,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0",179.4688,1331658.496,16.64
"9","1","Charming large studio  have a lovely  bedroom in  alcove style.  It is very romantique and confortable,  the linen is 100% cotton.  The cleaning of the apartment is a major preocupation of us.  Remember that we are very near to the rue Mouffetard where you can find  the best french products to prepare  a lovely dinner , with amazing patés, cheeses, wine etc!  The apartment can accomodate up to 3/4 guests.  We have other apartment in the same building that feets 4/5 adults. AIR CONDITIONING /  STORAGE FOR YOUR LUGGAGE!!!!   Spacious studio 35sqm,  just refurbished. Quiet, brand new comfortably  atmosphere   can accommodates up to 4 people. The bedroom is in alcove style  and has a double bed. Located at  the ground floor, accessible only by a charming courtyard. In the living room there is a flat-screen LCD TV and a 2 separates single sofa bed.  The bathroom has a hair dryer, a towel dryer, a washing machine, and a shower. There is a small American kitchen with all the necessary equipme","1","1","1","2010","1","within an hour","0","3","1","75005",48.8387226935181,2.35296523995896,"Apartment","Entire home/apt","4","1","1","2","Real Bed",323,98,300,60,"2",20,3,90,182,"2010-03-08","2018-10-13",96,10,10,10,10,10,9,"1","0","strict_14_with_grace_period","0",1.72,0.596266666666667,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","1","1",103.51504,1120860.85312,1753.024
"10","1","This beautiful cute studio of 18m² on the ground floor ( no stairs)  can accommodate up to 3 guests. The MOUFFETARD neighborhood is very little known to the occasional tourist. It is a little corner where you can live the true Parisian life!! AIR CONDITIONING  and STORAGE FOR YOUR LUGGAGE are available This beautiful cute studio of 18m² on the ground floor ( no stairs)  can accommodate up to 3 guests. We have  a very comfortable sofa bed   and one  futon ( 1.40x 2.20) placed  in a Parisian mezzanine, (1.40mt  height on the ceiling).  The open kitchen is equipped with electric hob, wash machine, microwave oven and all you need for cooking occasional and simple meals .The bathroom is decorated in old French country style. It has a hair dryer, a towel dryer and a shower. The rent  Includes Bed linen and towels, free long distance calls to Canada, USA, Europe, and South America/ Brazil. Free broadband internet. The prices  EXTRA CLEANING DURING YOUR STAY. LOCATION: 3 MINUTES WALKING FROM T","1","1","1","2010","1","within an hour","0","3","1","75005",48.8380187902152,2.35446347369343,"Apartment","Entire home/apt","3","1","0","2","Real Bed",237,98,250,55,"2",20,2,90,144,"2010-05-19","2018-10-11",90,9,10,10,9,9,9,"1","0","strict_14_with_grace_period","0",1.4,0.485333333333333,"1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","1","1","0","1","1",75.95376,822427.31328,1426.88
"11","1","I'm living in the 20th arrondissement in Charming 3 br flat, between place gambetta and maraîchers in a realllllly nice neighbourhood ( see publication of Le point it describes the quarter and its artistic, bohemic, bars and cafés etc. ). It's also not far away from Père lachaise cimetery. The flatis located ground floor, it's a 65m2.  It has TV with cables , Wireless internet access (Internet via cable is also available),  a fully equipped kitchen,  washer, 2 bathrooms ,and Phone calls free to some countries. The building is safe and you have grocery shops and supermarchés open till 22:00. and the market nearby is really nice and relatively cheap. There is also a doorman for your safety. It's ideal up to 6 persons. It has a kid friendly and family environment. Groups of friends can have great time in it. Great for short visit, business trip, mid-term holidays ( weeks ). I can send you some pictures. For any other information, please do not hesitate to email me. sincerely, Hanadi","0","0","1","2010","1","N/A","0","2","1","75020",48.8581580109995,2.39973641273103,"Apartment","Entire home/apt","6","2","2","3","Real Bed",463,110,450,50,"2",20,2,1125,9,"2010-04-09","2015-06-15",96,9,10,10,10,9,9,"0","0","strict_14_with_grace_period","0",0.09,0.0312,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","1",148.38224,1007812.17408,102.96
